method,path,roles,description,notes
POST,/auth/register,PUBLIC,Register new student account,
POST,/auth/login,PUBLIC,Login/receive JWT,
GET,/books,PUBLIC,List/search books,
GET,/books/:id,PUBLIC,Get book details,
GET,/books/categories,PUBLIC,List book categories,
GET,/auth/profile,STUDENT,Get profile,
PATCH,/auth/profile,STUDENT,Update profile,
POST,/borrows/self,STUDENT,Borrow a book (self-borrow),
GET,/borrows/my-borrows,STUDENT,List my borrowed books,
PATCH,/borrows/:id/return-self,STUDENT,Return a book (student),Input: ReturnBookDto
POST,/borrows/pay-fine,STUDENT,Pay a fine,
GET,/borrows/my-fines,STUDENT,View my fines,
POST,/reservations,STUDENT,Create seat reservation,
GET,/reservations/my-reservations,STUDENT,Get my reservations (paginated),
POST,/feedback,STUDENT,Submit feedback,
GET,/feedback/my-feedback,STUDENT,Get my feedback,
GET,/notifications/my-notifications,STUDENT,Get my notifications,
GET,/notifications/unread-count,STUDENT,Get unread notification count,
PATCH,/notifications/:id/read,STUDENT,Mark notification as read,
POST,/users,ADMIN|LIBRARIAN,Create user,
GET,/users,ADMIN|LIBRARIAN,List users with filters,
PATCH,/users/:id,ADMIN|LIBRARIAN,Update user,
PATCH,/users/:id/activate,ADMIN|LIBRARIAN,Activate user,
PATCH,/users/:id/deactivate,ADMIN|LIBRARIAN,Deactivate user,
DELETE,/users/:id,ADMIN,Delete user (soft if records exist),
POST,/books,ADMIN|LIBRARIAN,Create book,
PATCH,/books/:id,ADMIN|LIBRARIAN,Update book,
DELETE,/books/:id,ADMIN|LIBRARIAN,Delete book,
POST,/books/:id/upload-cover,ADMIN|LIBRARIAN,Upload book cover (per-book),
POST,/upload/book-cover,ADMIN|LIBRARIAN,Upload book cover (central),
POST,/borrows,ADMIN|LIBRARIAN,Issue book to student,
GET,/borrows,ADMIN|LIBRARIAN,List borrow records,
PATCH,/borrows/:id/return,ADMIN|LIBRARIAN,Mark borrow as returned,
POST,/borrows/fine-configuration,ADMIN,Update fine configuration,
GET,/fines,ADMIN|LIBRARIAN,List fines,
PATCH,/fines/:id/pay,ADMIN|LIBRARIAN,Mark fine as paid,
PATCH,/fines/:id/waive,ADMIN|LIBRARIAN,Waive fine,
GET,/reservations,ADMIN|LIBRARIAN,List reservations,
PATCH,/reservations/:id/approve,ADMIN|LIBRARIAN,Approve reservation,
POST,/seats,ADMIN|LIBRARIAN,Add seat,
PATCH,/seats/:id,ADMIN|LIBRARIAN,Update seat,
DELETE,/seats/:id,ADMIN|LIBRARIAN,Delete seat,
POST,/notifications,ADMIN|LIBRARIAN,Create notification,
GET,/feedback,ADMIN|LIBRARIAN,List all feedback,
PATCH,/feedback/:id/respond,ADMIN|LIBRARIAN,Respond to feedback,
GET,/reports/*,ADMIN|LIBRARIAN,Reporting endpoints (dashboard, trends, heatmap),
PATCH,/settings,ADMIN,Update system settings,
